county,inactive,obesity,hs
ALAMANCE,26.2,32.4,81
ALEXANDER,31.3,34.8,85
ALLEGHANY,25.8,25.7,92
ANSON,31,38.6,84
ASHE,31.3,26,87
AVERY,29.1,26.5,94
BEAUFORT,29.9,39.3,83
BERTIE,31.2,43.3,84
BLADEN,30.1,43.7,90
BRUNSWICK,24.6,28.9,84
BUNCOMBE,17.3,22.1,88
BURKE,27,36.4,89
CABARRUS,25.4,35.9,89
CALDWELL,25.8,39,89
CAMDEN,24.6,32.4,83
CARTERET,24.1,31.9,85
CASWELL,19.1,28.6,84
CATAWBA,26,31.3,92
CHATHAM,20.9,23.8,86
CHEROKEE,29.4,27,92
CHOWAN,28.3,38.5,89
CLAY,30.1,31.4,86
CLEVELAND,28.7,38.1,88
COLUMBUS,30.7,46.2,84
CRAVEN,23.1,30.6,86
CUMBERLAND,25,33.7,82
CURRITUCK,22.2,28.6,87
DARE,20.8,22.6,91
DAVIDSON,27.2,32.2,87
DAVIE,29.1,41.2,87
DUPLIN,35.4,39.8,81
DURHAM,18.5,24.7,82
EDGECOMBE,37.8,38,77
FORSYTH,23.4,33,84
FRANKLIN,33.4,36.1,86
GASTON,31.9,29.2,86
GATES,33.5,44.7,93
GRAHAM,25.4,43,85
GRANVILLE,35,37.2,81
GREENE,28.6,28.4,95
GUILFORD,22.2,33.4,89
HALIFAX,39.8,43.7,75
HARNETT,27,33.2,86
HAYWOOD,25.5,31.7,85
HENDERSON,23.4,28.4,91
HERTFORD,42.5,46.5,86
HOKE,28.7,37.4,82
HYDE,38.2,36.4,91
IREDELL,25.7,31.9,89
JACKSON,29,28.4,92
JOHNSTON,27.4,37.2,92
JONES,33.1,40.9,98
LEE,23.5,32.9,89
LENOIR,29.7,33.4,85
LINCOLN,22.7,37,90
MCDOWELL,34.3,40,85
MACON,26,28.8,91
MADISON,26.6,26.8,87
MARTIN,22.9,43.1,70
MECKLENBURG,18.6,28,85
MITCHELL,25.5,27,85
MONTGOMERY,38.5,36.5,90
MOORE,26.9,26.3,89
NASH,25.3,41.9,83
NEW HANOVER,22.8,26.4,86
NORTHAMPTON,36.4,33.5,63
ONSLOW,24.7,29.3,89
ORANGE,17.8,22.9,88
PAMLICO,31,37.2,87
PASQUOTANK,27.7,39.2,83
PENDER,25.7,30.6,90
PERQUIMANS,27.3,34.3,90
PERSON,31.9,29.2,87
PITT,27.6,35.9,85
POLK,27.1,33.3,92
RANDOLPH,27.2,32.2,90
RICHMOND,31.7,38.7,81
ROBESON,35.2,39,86
ROCKINGHAM,29.6,36.3,86
ROWAN,25.6,37.5,85
RUTHERFORD,24.5,28.5,84
SAMPSON,30.6,35.3,83
SCOTLAND,26.1,39.5,87
STANLY,24.3,28.4,89
STOKES,27.3,32.8,83
SURRY,32.4,30.5,91
SWAIN,24.9,31.1,79
TRANSYLVANIA,24.9,26.8,86
TYRRELL,27.4,43.3,89
UNION,21.5,32.1,93
VANCE,37.2,34.3,82
WAKE,16.4,25.1,89
WARREN,39,41,71
WASHINGTON,31.2,42.2,73
WATAUGA,19.3,16.7,90
WAYNE,28.3,38.1,83
WILKES,31.8,42.6,88
WILSON,31,32.3,79
YADKIN,21.3,38.6,88
YANCEY,30.6,29.9,92
,,,
